clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
266+2+43+3+30=,47+35+205+6+19=,344,17451,13384,43+266+30+3+2=,266+3+43+30+2=,3+2+266+43+30=,3+266+2+43+30=,2+30+3+266+43=,30+43+266+2+3=,30+43+3+2+266=,30+3+266+43+2=,266+2+43+30+3=
17+55+90+175+109=,30+15+97+229+127=,446,20385,21962,55+17+175+90+109=,109+175+55+90+17=,175+109+90+17+55=,175+109+90+55+17=,17+55+109+175+90=,55+90+109+17+175=,55+109+17+90+175=,17+109+175+90+55=,55+109+175+90+17=
34+419+44+46+124=,114+143+117+296+13=,667,19774,24887,34+419+124+46+44=,124+44+46+419+34=,419+34+44+46+124=,46+34+419+44+124=,46+44+34+124+419=,419+124+34+46+44=,44+34+46+124+419=,34+419+124+44+46=,124+419+44+34+46=
215+22+86+135+11=,15+36+214+51+120=,469,21330,21299,22+135+86+11+215=,22+135+11+215+86=,22+11+86+215+135=,11+86+135+215+22=,22+135+11+86+215=,135+86+11+215+22=,135+86+11+22+215=,215+86+11+135+22=,135+215+22+86+11=
166+41+2+157+74=,30+15+97+229+127=,440,14868,21962,166+41+157+74+2=,41+157+2+74+166=,166+74+157+2+41=,166+2+157+41+74=,41+166+157+74+2=,2+166+157+41+74=,166+41+74+2+157=,2+41+166+74+157=,2+157+41+166+74=
16+101+48+219+135=,307+21+1+361+46=,519,21851,23969,48+219+135+101+16=,16+219+48+135+101=,48+101+219+135+16=,48+135+16+219+101=,48+16+101+135+219=,135+219+16+48+101=,219+135+16+101+48=,219+16+101+48+135=,16+219+135+48+101=
92+112+36+52+66=,39+1+171+6+53=,358,17112,10914,66+112+92+36+52=,36+66+52+92+112=,112+92+36+66+52=,92+66+112+52+36=,36+52+112+92+66=,92+112+36+66+52=,92+112+52+36+66=,66+36+52+112+92=,112+36+92+52+66=
1+31+184+397+137=,21+261+301+75+27=,750,11711,23717,397+1+137+31+184=,397+1+137+184+31=,31+1+184+397+137=,1+184+31+137+397=,1+397+31+137+184=,184+31+137+1+397=,137+1+397+184+31=,31+184+397+1+137=,1+137+31+397+184=
59+68+28+38+289=,181+35+32+7+37=,482,21984,16443,59+38+68+289+28=,289+28+68+59+38=,28+289+59+68+38=,38+28+289+59+68=,68+59+38+28+289=,68+59+28+289+38=,38+28+289+68+59=,68+59+28+38+289=,68+38+28+289+59=
11+204+10+218+225=,174+274+60+49+125=,668,24427,25178,225+218+204+10+11=,11+204+10+225+218=,225+218+10+204+11=,10+11+225+204+218=,10+225+218+11+204=,225+11+204+10+218=,11+225+204+218+10=,204+218+11+225+10=,225+10+204+11+218=
406+43+126+42+13=,32+101+76+123+270=,630,18660,20224,13+43+126+406+42=,126+13+42+406+43=,13+43+126+42+406=,43+13+126+406+42=,406+42+126+43+13=,42+406+13+43+126=,13+406+42+126+43=,406+42+126+13+43=,43+126+406+13+42=
257+160+37+234+225=,36+14+18+5+47=,913,24331,4364,37+160+225+234+257=,225+257+37+234+160=,160+37+234+257+225=,225+160+234+37+257=,160+257+234+37+225=,234+225+160+37+257=,225+234+160+37+257=,37+257+225+160+234=,37+160+257+225+234=
221+40+55+331+12=,257+160+37+234+225=,659,25090,24331,40+55+331+12+221=,221+55+12+40+331=,40+12+55+331+221=,331+55+221+12+40=,221+12+40+331+55=,221+331+12+55+40=,55+221+40+331+12=,221+40+12+55+331=,331+40+221+55+12=
45+189+209+467+31=,58+147+72+103+23=,941,21322,13074,45+189+31+467+209=,209+45+31+189+467=,209+31+45+467+189=,209+189+31+467+45=,209+467+189+31+45=,467+189+31+45+209=,31+467+209+45+189=,467+209+31+45+189=,209+467+31+189+45=
211+9+77+84+121=,27+342+254+122+252=,502,17824,22694,84+211+9+77+121=,121+84+9+211+77=,77+211+9+121+84=,9+84+211+121+77=,9+121+84+211+77=,121+84+211+77+9=,84+9+211+77+121=,9+77+84+121+211=,211+121+84+9+77=
30+15+97+229+127=,278+62+2+37+16=,498,21962,19498,97+30+229+15+127=,127+15+229+30+97=,229+127+97+15+30=,97+229+15+127+30=,97+15+30+127+229=,15+229+30+127+97=,97+30+229+127+15=,97+127+30+15+229=,30+127+97+229+15=
27+82+74+10+4=,234+108+66+60+145=,197,4468,22922,74+27+82+4+10=,10+27+4+82+74=,10+74+27+4+82=,82+27+74+4+10=,27+10+82+74+4=,74+10+82+4+27=,74+4+82+10+27=,4+10+74+82+27=,74+27+10+4+82=
142+123+193+43+227=,307+21+1+361+46=,728,24054,23969,193+227+142+43+123=,142+43+193+123+227=,123+193+43+142+227=,227+123+193+142+43=,193+227+123+142+43=,193+43+123+142+227=,227+43+142+193+123=,43+227+193+123+142=,142+193+227+43+123=
84+198+20+40+55=,35+115+88+12+124=,397,20698,18265,40+55+198+84+20=,20+84+55+198+40=,198+20+84+55+40=,20+55+84+198+40=,55+40+198+84+20=,84+40+198+55+20=,55+84+198+20+40=,20+40+198+55+84=,198+84+40+20+55=
313+114+36+20+158=,23+41+21+3+728=,641,23525,23713,158+20+36+313+114=,313+114+20+158+36=,158+20+313+114+36=,20+114+36+313+158=,158+20+36+114+313=,36+114+158+20+313=,36+20+158+313+114=,158+114+313+20+36=,114+36+158+313+20=
43+45+96+42+157=,11+52+23+18+6=,383,19230,5120,157+96+42+45+43=,43+45+42+157+96=,45+43+96+157+42=,96+45+157+43+42=,96+45+43+42+157=,43+157+96+42+45=,96+157+43+42+45=,43+96+42+157+45=,157+43+96+42+45=
41+46+74+86+5=,111+46+56+45+256=,252,12326,20998,74+46+41+5+86=,74+86+41+46+5=,74+86+46+5+41=,5+74+86+46+41=,86+41+46+74+5=,46+86+5+41+74=,41+74+86+46+5=,41+74+5+86+46=,5+46+86+41+74=
199+263+128+16+51=,333+108+17+130+109=,657,23480,25388,51+199+128+16+263=,128+199+16+263+51=,16+199+128+263+51=,51+199+16+128+263=,51+16+128+263+199=,16+128+51+199+263=,51+128+199+16+263=,263+128+16+51+199=,51+263+128+16+199=
57+167+86+26+77=,378+166+270+78+55=,413,19288,26511,26+77+57+167+86=,57+86+26+167+77=,167+57+77+26+86=,26+167+86+77+57=,77+57+167+26+86=,167+86+26+77+57=,77+86+57+167+26=,167+77+86+57+26=,167+86+77+57+26=
4+404+38+237+45=,353+128+67+49+49=,728,24054,22642,404+4+38+45+237=,45+38+404+237+4=,404+237+38+4+45=,237+404+4+45+38=,38+237+45+4+404=,45+38+4+237+404=,237+45+4+404+38=,38+237+4+45+404=,45+404+4+237+38=
103+104+215+94+14=,17+64+230+48+25=,530,17252,12910,94+215+103+14+104=,14+104+103+94+215=,215+94+104+103+14=,14+94+104+215+103=,103+14+215+104+94=,14+103+104+215+94=,215+103+104+94+14=,94+104+14+215+103=,94+14+103+104+215=
1+117+52+22+98=,32+101+76+123+270=,290,13754,20224,52+22+117+1+98=,1+52+117+98+22=,1+117+22+52+98=,1+98+52+117+22=,52+22+1+117+98=,98+52+22+1+117=,52+98+117+1+22=,52+22+1+98+117=,117+22+98+52+1=
272+19+38+119+211=,31+13+15+99+66=,659,25090,10697,272+211+119+38+19=,19+38+272+119+211=,211+119+38+19+272=,19+211+272+38+119=,38+211+272+119+19=,211+272+38+19+119=,211+19+119+272+38=,119+38+272+19+211=,19+38+211+272+119=
181+35+32+7+37=,3+65+184+99+56=,292,16443,18501,7+35+181+32+37=,181+35+7+37+32=,7+32+37+181+35=,181+35+32+37+7=,181+37+35+32+7=,7+37+181+35+32=,35+7+32+181+37=,37+7+35+181+32=,32+7+35+181+37=
61+16+39+56+68=,38+119+130+113+105=,240,8273,17786,68+16+56+39+61=,61+68+16+56+39=,16+61+68+39+56=,56+39+68+61+16=,61+39+56+16+68=,68+16+39+56+61=,56+61+16+39+68=,56+68+16+61+39=,68+61+56+16+39=
11+8+491+98+135=,47+35+205+6+19=,743,26260,13384,11+491+98+8+135=,135+491+98+11+8=,11+8+135+491+98=,98+11+491+135+8=,135+491+11+8+98=,11+8+98+491+135=,98+491+8+135+11=,491+11+135+8+98=,491+135+98+11+8=
148+93+34+297+154=,63+6+2+12+26=,726,24430,7743,34+93+297+148+154=,34+297+148+154+93=,154+34+297+93+148=,93+297+34+148+154=,154+34+297+148+93=,154+93+297+148+34=,297+93+148+34+154=,93+148+297+154+34=,34+297+154+148+93=
58+147+72+103+23=,39+1+171+6+53=,403,13074,10914,103+147+72+58+23=,58+72+103+147+23=,72+103+23+147+58=,147+72+23+103+58=,103+147+23+72+58=,72+147+58+103+23=,103+147+58+72+23=,147+58+103+72+23=,103+58+23+72+147=
163+26+344+177+137=,378+166+270+78+55=,847,25125,26511,137+163+26+344+177=,26+344+177+163+137=,137+26+344+163+177=,26+137+163+177+344=,26+344+137+177+163=,163+137+177+344+26=,344+163+26+177+137=,163+26+137+177+344=,344+177+26+137+163=
201+151+75+85+56=,121+112+22+243+31=,568,22049,21618,85+75+56+151+201=,151+56+85+75+201=,56+201+75+151+85=,75+151+85+56+201=,75+201+151+56+85=,201+151+56+75+85=,75+85+151+56+201=,85+201+56+151+75=,201+75+56+151+85=
23+44+51+118+47=,41+10+21+137+12=,283,16085,12425,44+118+23+51+47=,118+44+23+47+51=,51+47+44+118+23=,44+23+51+118+47=,51+44+23+118+47=,118+51+23+47+44=,47+118+44+23+51=,51+47+23+44+118=,51+118+23+44+47=
35+115+88+12+124=,38+119+130+113+105=,374,18265,17786,115+88+124+12+35=,88+12+35+124+115=,124+88+35+12+115=,115+124+88+12+35=,35+12+124+88+115=,124+12+115+88+35=,12+124+35+88+115=,12+35+124+88+115=,88+12+124+115+35=
174+274+60+49+125=,201+10+75+678+31=,682,25178,22101,60+49+174+274+125=,174+125+274+60+49=,174+49+274+125+60=,274+174+60+125+49=,60+125+174+274+49=,174+60+125+49+274=,274+174+125+60+49=,125+49+274+60+174=,60+274+174+125+49=
38+119+130+113+105=,172+230+135+63+292=,505,17786,24110,113+105+38+119+130=,105+119+113+38+130=,105+130+119+38+113=,38+119+105+113+130=,105+130+119+113+38=,105+119+38+113+130=,113+105+130+119+38=,119+113+130+38+105=,38+105+130+119+113=
236+28+499+92+140=,47+35+205+6+19=,995,22101,13384,499+140+92+28+236=,236+140+499+92+28=,236+499+28+92+140=,28+140+236+499+92=,92+28+140+499+236=,499+236+92+28+140=,140+236+92+499+28=,92+140+236+499+28=,92+499+236+28+140=
41+65+144+34+62=,166+24+3+55+61=,346,18061,15500,144+65+41+34+62=,34+144+65+62+41=,144+65+62+34+41=,65+62+34+41+144=,41+62+34+144+65=,34+65+144+41+62=,34+41+65+62+144=,41+62+65+144+34=,65+34+62+41+144=
82+208+77+95+72=,163+26+344+177+137=,534,22467,25125,77+72+95+82+208=,72+208+77+95+82=,77+82+208+95+72=,77+82+208+72+95=,208+72+77+82+95=,72+77+95+208+82=,95+82+77+208+72=,82+77+95+208+72=,77+72+95+208+82=
8+242+110+95+120=,33+159+207+240+222=,575,21228,24963,120+8+242+110+95=,110+120+242+8+95=,95+242+120+8+110=,8+242+110+120+95=,95+120+110+8+242=,110+242+8+120+95=,8+95+242+120+110=,242+8+95+120+110=,120+95+242+8+110=
172+230+135+63+292=,166+24+3+55+61=,892,24110,15500,292+172+230+63+135=,135+63+230+172+292=,292+63+230+172+135=,172+230+292+63+135=,135+230+292+63+172=,135+63+230+292+172=,172+63+292+230+135=,63+172+230+292+135=,292+172+63+135+230=
16+240+10+30+32=,320+42+151+106+41=,328,16884,19274,16+32+30+240+10=,10+30+240+16+32=,16+32+240+30+10=,240+10+16+32+30=,30+32+240+16+10=,240+10+32+16+30=,30+32+16+10+240=,32+240+30+10+16=,10+30+32+240+16=
121+112+22+243+31=,138+138+45+270+14=,529,21618,19666,243+121+112+31+22=,112+243+31+22+121=,121+31+112+22+243=,243+112+31+121+22=,243+121+22+31+112=,121+22+31+112+243=,22+31+121+243+112=,121+243+31+22+112=,112+243+22+31+121=
312+83+66+25+16=,50+122+24+22+71=,502,17824,17212,16+25+66+83+312=,16+83+25+66+312=,83+16+66+312+25=,25+312+16+66+83=,83+16+312+25+66=,83+25+312+66+16=,25+312+16+83+66=,312+83+16+25+66=,83+66+16+312+25=
39+1+171+6+53=,74+206+14+50+210=,270,10914,22303,39+171+1+6+53=,1+171+6+39+53=,53+171+1+6+39=,53+39+171+1+6=,39+1+171+53+6=,39+6+171+53+1=,171+53+39+1+6=,6+53+171+39+1=,1+6+171+53+39=
9+184+195+4+131=,11+204+10+218+225=,523,21123,24427,184+131+195+9+4=,184+131+4+9+195=,4+195+184+9+131=,184+195+4+9+131=,9+195+4+184+131=,131+184+9+4+195=,195+184+9+131+4=,4+131+184+9+195=,184+195+9+4+131=
386+91+46+13+61=,111+46+56+45+256=,597,24574,20998,13+61+91+386+46=,13+386+46+61+91=,61+46+91+386+13=,46+13+386+91+61=,61+13+386+91+46=,46+91+61+13+386=,61+46+386+13+91=,46+13+91+386+61=,386+61+46+91+13=
